sku,product_name,category,size_range,short_description,product_url
,Grooved Fittings for Aluminum,Fittings,,"Designed with original grooved ends (OGS) for assembly with Victaulic couplings. Available in elbow, tee, cap, and concentric reducer fitting configurations, as well as grooved by thread, grooved by bevel, and groove by groove adapter nipples for 1 – 8” / DN25 – DN200 sizes. For other configur",https://www.victaulic.com/products/grooved-fittings-for-aluminum/
,Grooved Shouldered Fittings,Fittings,,"Shoulder end fittings to be installed using Victaulic couplings for shouldered pipe. Sizes from 2 - 8"" | DN50 - DN200 (pipe O.D.). Pressure ratings conform to ratings of installed coupling",https://www.victaulic.com/products/grooved-shouldered-fittings/
,"Long Radius Steel Elbows 3D, 5D and 6D",Fittings,,"Standard fitting pressure ratings conform to ratings of installed couplings. All fittings supplied with grooves or shoulders for fast installation. Fittings available from 3/4 - 24"" | DN20 - DN600",https://www.victaulic.com/products/long-radius-steel-elbows-3d-5d-and-6d/
,Plain End Fittings,Fittings,,Provides change of direction to plain end piping systems. Ready-to-install fitting. Compatible with Style 99 Roust-A-Bout coupling,https://www.victaulic.com/products/plain-end-fittings/
,StrengThin™ Grooved Fittings for Duplex and Super Duplex Stainless Steel,Fittings,,"Designed for use on high pressure stainless steel piping systems. Sizes from 2 - 16"" | DN50 - DN400. Pressures up to 1200psi |8274 kPa | 83 bar",https://www.victaulic.com/products/strengthin-grooved-fittings-for-duplex-and-super-duplex-stainless-steel/
994,Style 994 Vic-Flange Adapter,Fire Protection,,"Style 994. Permits direct connection of ANSI Class 125 and 150 flanged components into HDPE systems.. No fused adapters or standard flange gasket are required.. Available in 4 - 8"" | DN100 - DN200 sizes",https://www.victaulic.com/products/style-994-vic-flange-adapter/
,No. 26 Outlet Fitting,Fittings,,"An outlet fitting for any mechanical room application. Available with OGS and AGS™ groove ends. Sizes from ¾ – 24"" | DN20 – DN600",https://www.victaulic.com/products/no-26-vic-outlet-fitting/
DLY,Style DLY Delta-Y Assembly,Fire Protection,,"Style DLY. Assembles with Style 107 Rigid Couplings, Series 761 Vic-300™ MasterSeal Butterfly Valves and cast fittings. Ideal for bulk cement/barite systems commonly found on offshore drilling platforms. Sizes from 5 - 6"" | DN125 - DN150",https://www.victaulic.com/products/style-dly-delta-y-assembly/
415,Series 415 Double Disc Check Valve,Valves,,"Available with grooved ends for installation in either StrengThin™ Systems or Original Grooved Systems (OGS). Sizes from 2 - 18"" | DN50 - DN450. Pressures up to 1200 psi | 8274 kPa | 83 bar",https://www.victaulic.com/products/series-415-double-disc-check-valve/
716,Series 716/716H Check Valve,Valves,,"Features an elastomer encapsulated disc and a welded in nickel seat. Sizes from 2 - 12"" | DN50 - DN300. Pressures up to 365 psi | 2517 kPa | 25 bar",https://www.victaulic.com/products/series-716-series716-vic-check-valve/
721,Series 721 Ball Valve,Valves,,"Floating ball reduces torque requirements. Sizes from 4 - 6"" | DN100 - DN150. Pressures up to 800 psi | 5515 kPa | 55 bar",https://www.victaulic.com/products/series-721-ball-valve/
7A2,Series 7A2 Butterfly Valve,Valves,,Designed for pressures ranging from vacuum to 300 psi/2065 kPa.. Features a narrow profile design and coated inner body which enable superior flow characteristics and low break-away torque. Standard polyphenylene sulfide blend (PPS) coating accommodates a wide variety of severe services.,https://www.victaulic.com/products/series-7a2-butterfly-valve/
7B2,Series 7B2 Butterfly Valve,Valves,,"Features a weatherproof actuator housing approved for indoor or outdoor use for domestic water or combined domestic water/fire protection services.. Features a ductile iron body and disc with an EPDM coating that includes a heat-fused polyphenylene sulfide blend.. For fire protection services, cULus",https://www.victaulic.com/products/series-7b2-butterfly-valve/
,GDC-CTS Go/No-Go Groove Diameter Cable for Copper Tube,Fire Protection,,"Go/No-Go pocket-sized cable for taking circumferential measurements of copper tubing. GDC-CTS cable should only be used to check roll-grooved tubing to CTS Standard Types K, L, M hard-drawn copper tubing per ASTM B-88 and DWV per ASTM B-306 specifications (2 - 8"" | 54.0 - 206.4 mm tubing sizes). GDC",https://www.victaulic.com/products/gdc-cts-gono-go-groove-diameter-cable-for-copper-tube/
,No. T-60 Test Cap Kit,Fire Protection,2 – 8 | DN50 – DN200,"Allows user another means to verify system is unpressurized and empty of test media before continuing work. Packaged in stackable, heavy-duty rolling case. Includes 2 - 8 | DN50 - DN200 IPS test caps",https://www.victaulic.com/products/no-t-60-test-cap-kit/
,VAPS1672 Adjustable Pipe Stand,Fire Protection,,"Designed specifically for supporting pipe to be roll grooved. Self-standing, heavy duty unit permits free pipe rotation and traversing on ball transfers. Designed for use with VE436MC and VE460 tools",https://www.victaulic.com/products/style-vaps1672-vic-easy-adjustable-pipe-stand/
,VAPS224 Adjustable Pipe Stand,Fire Protection,,"Designed specifically for supporting pipe to be roll-grooved. Self-standing, heavy-duty unit permits free pipe rotation and traversing on ball transfers. Capacity: 2 - 24""| DN50 - DN600 IPS pipe",https://www.victaulic.com/products/style-vaps224-vic-easy-adjustable-pipe-stand/
,FireLock™ Sprinkler Escutcheons,Sprinklers,,V27 and V34 Recessed V27 and V34 Flush V29 Extended V29 Flush,https://www.victaulic.com/products/firelock-sprinkler-escutcheons/
SC85,Style SC85 Flexible Coupling for Shouldered Steel Pipe,Couplings,,"Style SC85. Joins shouldered steel pipe, fittings and valves. Sizes from 2 - 14"" | DN50 - DN350. Pressures up to 610 psi | 4200 kPa | 42 bar",https://www.victaulic.com/products/style-sc85-flexible-coupling-for-shouldered-steel-pipe/
,VAPS270 Adjustable Pipe Stand,Fire Protection,,"¾” – 12” capability. Regional availability, contact Victaulic for details.",https://www.victaulic.com/products/vaps270-adjustable-pipe-stand/
,No. 826 Steam Outlet Fitting,Fittings,,"Outlet fitting for use in saturated steam systems. Available only with OGS-200 roll grooved ends. Sizes from 2 - 8"" | DN50 - DN200",https://www.victaulic.com/products/no-826-steam-outlet-fitting/
L77,Style L77 Cast Carbon Steel Flexible Coupling,Couplings,,"Style L77. Flexible pipe joint which allows for expansion, contraction and deflection. Sizes from 2 - 12” | DN50 - DN300. Pressures up to 1000 psi | 6895 kPa | 69 bar",https://www.victaulic.com/products/style-l77-flexible-coupling-for-carbon-steel/
50T,50T Large Diameter Roll Grooving Tool,Fire Protection,,"Fully motorized, semi-automatic, electro-hydraulic tool.. Capable of roll grooving 14 - 78""/DN350 - DN1800 steel pipe.",https://www.victaulic.com/products/50t-large-diameter-roll-grooving-tool/
,Rigid and Flexible OGS Long Run Fittings,Fittings,,"One-piece manufactured OGS long run fittings for mechanical room & distribution piping applications. Sizes from 2 1/2 - 12"" | 73.0 mm - DN300.",https://www.victaulic.com/products/rigid-and-flexible-ogs-long-run-fittings/
,Extended Life (XL) Elbows 1 1/2 and 3D,Fittings,,"1½D and 3D elbows designed for ¼"" | 6 mm extra lining resulting in up to three times the service life when compared to standard rubber lined fittings. Sizes from 3 - 12"" | DN80 - DN300. Comes with Style XL77 flexible couplings for pipe-to-fitting and Style XL79 flexible couplings for fitting-to-fi",https://www.victaulic.com/products/extended-life-xl-elbows-1-12-and-3d/
,Vic-Blast Air-Water Blast Nozzle,Sprinklers,,Browse manuals and submittal forms.,https://www.victaulic.com/products/vic-blast-air-water-blast-nozzle/
387,Series 387 and Series 388 Modular Dual Pump Skids,Fire Protection,,"Series 387 Inline Modular Dual Pump Skid & Series 388 End Suction Modular Dual Pump Skid. Sizes from 2 1/2 - 10"" | 73.0 mm - DN250.",https://www.victaulic.com/products/series-387-and-series-388-modular-dual-pump-skids/
41,Style 41 Vic-Ring Traditional Grooved Coupling,Couplings,,"Style 41. Provided with a variety of ring options to maintain full pipe wall thickness for abrasive systems. Sizes from 30 - 66"" | 750 - 1675 mm. Pressures up to 90 psi | 621 kPa | 6 bar",https://www.victaulic.com/products/style-41-vic-ring-traditional-grooved-coupling/
475DX,Style 475DX Duplex Stainless Steel Lightweight Flexible Coupling,Couplings,,"Style 475DX. Unique coupling design permits assembly by removing one nut/bolt and scissoring housing over gasket. Optional super duplex stainless steel housing. Sizes from 1 - 4"" | DN25 - DN100",https://www.victaulic.com/products/style-475dx-duplex-stainless-steel-flexible-coupling/
77A,Style 77A Aluminum Flexible Coupling,Couplings,,Style 77A.,https://www.victaulic.com/products/style-77a-aluminum-flexible-coupling/
78,Style 78 Snap-Joint™ Coupling,Couplings,,"Style 78. Designed for quick disconnect service. Sizes from 1 - 8"" | DN25 - DN200. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/style-78-snap-joint-coupling/
XL77,Style XL77 Flexible Coupling for XL Fitting to Pipe,Couplings,,Style XL77. For use with XL (extended life) fittings. Style XL77 for pipe-to-fitting connections. Style XL79 for fitting-to-fitting connections,https://www.victaulic.com/products/style-xl77-flexible-coupling-for-xl-fitting-to-pipe/
XL79,Style XL79 Flexible Coupling for XL Fitting to Fitting,Couplings,,Style XL79. For use with XL (extended life) fittings. Style XL77 for pipe-to-fitting connections. Style XL79 for fitting-to-fitting connections,https://www.victaulic.com/products/style-xl79-flexible-coupling-for-xl-fitting-to-fitting/
99,Style 99 Plain End Coupling,Couplings,,"Style 99. Grips to provide a strong component for joining plain and beveled end pipe and fittings. Not designed for use with plastic pipe. Sizes from 1 - 18"" | DN25 - DN450",https://www.victaulic.com/products/style-99-plain-end-roust-a-bout-coupling/
995N,Style 995N Plain End Coupling,Couplings,,"Style 995N. Coupling teeth create 360° grip of HDPE pipe for secure seal. Sizes from DN50 - DN500 | 2 - 20"". Pressure rating conforms to the maximum rating of the pipe",https://www.victaulic.com/products/style-995n-plain-end-coupling-for-hdpe/
150,Style 150 Mover Expansion Joint,Couplings,,"Style 150. Slip-type expansion joint providing up to 3"" | 76 mm axial end movement. Sizes from 2 - 6"" | DN50 - DN150. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/style-150-mover-expansion-joint/
155,Style 155 Expansion Joint,Couplings,,"Style 155. Combination of couplings and short nipples, joined in tandem to provide increased expansion. Style 155 grooved expansion joints are rated to the working pressure of the coupling used. Sizes from ¾ - 12"" | DN20 - DN300",https://www.victaulic.com/products/style-155-expansion-joint/
808,Style 808 High Pressure Coupling,Couplings,,"Style 808. Double-bolted coupling for use with Schedule 80 or heavier steel pipe. Sizes from 6 - 12"" | DN150 - DN300. Pressures up to 4000 psi | 27579 kPa | 275 bar",https://www.victaulic.com/products/style-808-high-pressure-coupling/
,No. 67 Vic-End II End of Run Elbow,Fittings,,"Standard fitting pressure ratings conform to ratings of installed coupling. All fittings supplied with grooves for fast installation. Fittings available from 1¼ - 3"" | DN32 - DN80",https://www.victaulic.com/products/no-67-vic-end-ii-end-of-run-elbow/
441,Style 441 Flange Adapter for Stainless Steel,Fittings,,"Style 441. ANSI Class 150. Constructed from Grade CF8M stainless steel for externally corrosive environments. Sizes from 2 - 6"" | DN50 - DN150",https://www.victaulic.com/products/style-441-vic-flange-adapter-for-stainless-steel/
317,Series 317 AWWA Check Valve,Valves,,"Valve design, materials, and testing conform to the requirements of AWWA C-508 for water and wastewater treatment services. Sizes from 3 - 12"" | DN80 - DN300. Pressures up to 175 psi | 1 207 kPa | 12 bar",https://www.victaulic.com/products/series-317-awwa-check-valve/
700,Series 700 Butterfly Valve,Valves,,"Two-piece stem permits narrow disc design for low pressure drop performance. Supplied standard with aluminum bronze disc, 316 stainless steel optional. Sizes from 1½ - 6"" | DN40 - DN150",https://www.victaulic.com/products/series-700-butterfly-valve/
722,Series 722 Brass Body Ball Valve,Valves,,"Standard port, female threaded end valve constructed from forged brass. Sizes from ¼ - 2"" | DN8 - DN50. Pressures up to 600 psi | 4137 kPa | 41 bar",https://www.victaulic.com/products/series-722-brass-body-ball-valve/
779,Series 779 Venturi Check Valve,Valves,,"Check valve with available flow measuring kit and venturi-like taps provide accurate measurement. Sizes from 4 - 12"" | DN100 - DN300. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/series-779-venturi-check-valve/
912,Style 912 FireLock™ Low Profile Sprinkler Tee – (EMEA only),Sprinklers,,"Style 912. Provides a direct branch connection for sprinklers only at any location where a hole can be cut in the pipe. Sizes from 1 - 1½"" | 25 - 40 mm. Pressures up to 232 psi | 1600 kPa | 16 bar",https://www.victaulic.com/products/style-912-firelock-low-profile-sprinkler-tee-emea-only/
731-D,Series 731-D Suction Diffuser,Fire Protection,,"Allows building up at a 90° angle from the pump, saving valuable space in the mechanical room while still protecting the pump against cavitation. ANSI Class 150, Australian Standard Table E, PN10/16, GB, and JIS 10K. Sizes from 3 - 12"" | DN80 - DN300",https://www.victaulic.com/products/series-731-d-suction-diffuser/
233S,Style 233S Restrained Flexible Coupling for Dynamic Joint Deflection For Stainless Steel,Couplings,,Style 233S. Designed for use where corrosion resistance is required. Restrained flexible joint that allows for dynamic (in-service) deflection. Satisfies the requirements of AWWA C227,https://www.victaulic.com/products/style-233s-restrained-flexible-coupling-for-dynamic-joint-deflection-for-stainless-steel/
FTV,Series FTV Flow Test Valve,Valves,,Utilized downstream of pressure reducing control valves when present at multi-story building floor control assemblies May also be utilized […],https://www.victaulic.com/products/series-ftv-flow-test-valve/
FL-SA,FireLock™ Series FL-SA/NZ Window Nozzles,Sprinklers,,Nozzles. K1.4 | S.I.2.0. Window Sprinkler,https://www.victaulic.com/products/firelock-model-v1001/
FL-QR,FireLock™ Series FL-QR/C Sprinklers,Sprinklers,,"FireLock Series FL-QR/C Sprinklers: V5606, K5.6 | 8.1 SI, V3802, K5.6 | 8.1 SI, V3808, K5.6 | 8.1 SI",https://www.victaulic.com/products/firelock-series-fl-qr-c-sprinklers/
FL-QR,FireLock™ Series FL-QR/CNV Sprinklers,Sprinklers,,"FireLock™ Series FL-QR/CNV Sprinklers: V2726, K5.6 | 8.1 SI, V2754, K5.6 | 8.1 SI, V8125, K8.0 | 11.5 SI",https://www.victaulic.com/products/firelock-series-fl-qr-cnv-sprinklers/
FL-SR,FireLock™ Series FL-SR/SW Sprinklers,Sprinklers,,"FireLock Series FL-SR/SW Sprinklers: V2870, K2.8 | 4.0 SI, V4270, K4.2 | 6.1 SI, V2709, K5.6 | 8.1 SI, V3409, K8.0 | 11.5 SI",https://www.victaulic.com/products/firelock-series-fl-sr-sw-sprinklers/
FL-SR,FireLock™ Series FL-SR/CNV Sprinklers,Sprinklers,,"FireLock™ Series FL-SR/CNV Sprinklers: V2725, K5.6 | 8.1 SI, V2753, K5.6 | 8.1 SI, V8169, K8.0 | 11.5 SI",https://www.victaulic.com/products/firelock-series-fl-sr-cnv-sprinklers/
FL-ECLH,FireLock™ Series FL-ECLH Sprinklers,Sprinklers,,"FireLock™ Series FL-ECLH Sprinklers: V5614, K5.6 | 8.1 SI, V3428, K8.0 | 11.5 SI, V3412, K11.2 | 16.1 SI, V3414, K14.0 | 20.2 SI",https://www.victaulic.com/products/firelock-series-fl-eclh-sprinklers/
FL-ECLH,FireLock™ Series FL-ECLH/C Sprinklers,Sprinklers,,"FireLock™ Series FL-ECLH/C Sprinklers: V5603, K5.6 | 8.1 SI, V3102, K8.0 | 11.5 SI, V1106, K11.2 | 16.1 SI",https://www.victaulic.com/products/firelock-series-fl-eclh-c-sprinklers/
FL-ECOH,FireLock™ Series FL-ECOH Sprinklers,Sprinklers,,"FireLock™ Series FL-ECOH Sprinklers: Upright: V1121, K11.2 | 16.1 SI, V3425, K14.0 | 20.2 SI | Pendent & Recessed Pendent: V1113, K11.2 | 16.1 SI, V3421, K14.0 | 20.2 SI",https://www.victaulic.com/products/firelock-series-fl-ecoh-sprinklers/
,VAPS112 Adjustable Pipe Stand,Fire Protection,,Designed for supporting pipe to be roll-grooved. Turnstile design allows pipe to be spun around for grooving of both pipe ends without dismounting pipe from stand. Forward/traverse movement,https://www.victaulic.com/products/style-vap112-vic-easy-adjustable-pipe-stand/
972S-2B-H,Series 972S-2B-H Watchdog Pressure Reducing Valve (PRV) Combo with Integrated Low-Flow Bypass,Valves,,Victaulic Series 972S-2B-H | Bermad Model BC-72S-2B-H-P. Sizes from 1 ½ – 8” | DN40 – DN200. Pressure up to 300 psi | 2068 kPa | 21 bar,https://www.victaulic.com/products/watchdog-pressure-reducing-valve-prv-combo-integrated-low-flow-bypass/
970-N,Series 970-N Check Valve,Valves,,Victaulic Series 970-N | Bermad Model BC-70N-P. Sizes from 1 ½ - 8” | DN40 - DN200. Pressure up to 400 psi | 2758 kPa | 28 bar,https://www.victaulic.com/products/series-970-n-check-valve/
971,Series 971 Solenoid Control Valve (On/Off),Valves,,Victaulic Series 971 | Bermad Model BC-710-P. Sizes from 1 ½ - 8” | DN40 - DN200. Pressure up to 400 psi | 2758 kPa |28 bar,https://www.victaulic.com/products/solenoid-control-valve-on-off/
975-67,Series 975-67 Level Control Valve with Modulating Vertical Float,Valves,,"Victaulic Series 975-67 | Bermad Model BC-750-67-P. Sizes from 1 1/2 - 8"" | DN40 - DN200. Pressure up to 250 psi | 1724 kPa | 17 bar",https://www.victaulic.com/products/series-975-67-level-control-valve-with-modulating-vertical-float/
,FireLock™ Sprinkler Wrenches,Sprinklers,,"Range of wrenches offered designed for specific Victaulic sprinkler frames. Most Victaulic sprinklers have a unique hex-head design to allow wrench engagement from a greater variety of angles and positions than conventional sprinklers. In addition to standard offset open end wrenches, there are sock",https://www.victaulic.com/products/sprinkler-wrench-firelock-model-v27-open-end/
UM,Series UM Universal Manifold Assembly,Fire Protection,,"Universal manifold assembly incorporating a flow switch, test drain, system pressure gauge and pressure relief valve.. Sizes from 1¼ – 8″ | DN32 – DN200. Pressures up to 300 psi | 2068 kPa | 20.6 bar",https://www.victaulic.com/products/series-um-universal-manifold-assembly/
HP-70,Style HP-70 Rigid Coupling,Couplings,,"Style HP-70. Heavy housing for high pressure service. Sizes from 2 - 16"" | DN50 - DN400. Pressures up to 1000 psi | 6895 kPa | 69 bar",https://www.victaulic.com/products/style-hp-70-rigid-high-pressure-coupling/
,Grooved Fittings,Fittings,,"Standard fitting pressure ratings conform to ratings of installed coupling. All fittings supplied with grooves or shoulders for fast installation. Fittings available from ¾ - 24"" | DN20 - DN600",https://www.victaulic.com/products/grooved-fittings/
732,Series 732 Wye Type Strainer,Fire Protection,,"Provides straight-through flow for lower pressure drop. Sizes from 2 - 12"" | DN50 - DN300. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/series-732-vic-strainer-wye-type/
307,Style 307 AWWA Transition Coupling,Couplings,,"Style 307. Single transition for connecting grooved end IPS steel to grooved end AWWA ductile iron. Designed for Class 53 or higher pipe. Optional coatings include galvanized, organic zinc primer and bituminous",https://www.victaulic.com/products/style-307-awwa-transition-coupling/
005H,FireLock™ Style 005H Rigid Coupling,Couplings,,"Style 005H. Angled bolt pad provides rigidity. Sizes from 1¼ - 8"" | DN32 - DN200. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/style-005h-firelock-rigid-coupling/
78A,Snap-Joint™ Style 78A Aluminum Coupling,Couplings,,Style 78A.,https://www.victaulic.com/products/style-78a-aluminum-snap-joint-coupling/
2905,Aquamine™ Series 2905 Coupling for PVC,Couplings,,"Sizes from DN50 - DN300 | 2 - 12"". Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/series-2905-aquamine-coupling-for-pvc/
922,FireLock™ Style 922 Outlet-T,Fire Protection,,"Style 922. Provides a direct branch connection at any location where a hole can be cut in the pipe. Available as female threaded outlet. Sizes from 1¼ - 2½"" | 25 - 76.1 mm",https://www.victaulic.com/products/style-922-firelock-outlet-t/
717HR,FireLock™ Series 717HR High Pressure Riser Check Valve,Valves,,"Features a stainless steel disc which seats against the O-ring seal, when mounted on the electroless nickel plated face. Includes upstream and downstream pressure taps, must specify riser check kit when ordered. Sizes from 2 - 3"" | DN50 - DN75",https://www.victaulic.com/products/series-717hr-firelock-high-pressure-check-valve-assembly/
728,FireLock™ Series 728 Ball Valve,Valves,,"Standard port and supervisory switch. Available with grooved or female threaded ends. Sizes from 1 - 2"" | DN25 - DN50",https://www.victaulic.com/products/series-728-firelock-grooved-ball-valve/
771H,FireLock™ Series 771H OS&Y Gate Valve,Valves,,"Available as Groove × Groove or Groove × Flange*. Used when positive shut-off is required in a fire line and a quick visual indicator of open/closed position is needed. Sizes from 2½ - 12"" | DN65 - DN300",https://www.victaulic.com/products/series-771h-firelock-osy-gate-valve/
772H,FireLock™ Series 772H NRS Gate Valve,Valves,,"Available as Groove × Groove or Groove × Flange*. Used for shut-off service where the valve is operated remotely. Sizes from 2½ - 12"" | DN65 - DN300",https://www.victaulic.com/products/series-772h-firelock-nrs-gate-valve/
FL-SA,FireLock™ Series FL-SA/IC Interstitial Sprinklers,Sprinklers,,"FireLock™ Series FL-SA/IC Sprinklers: V2502, K4.2 | 6.1 SI, V5608, K5.6 | 8.1 SI Interstitial Combustible Concealed Space",https://www.victaulic.com/products/firelock-series-fl-sa-ic-sprinklers/
HP-70ES,EndSeal™ Style HP-70ES High-Pressure Coupling for Plastic Coated Pipe,Couplings,,"Style HP-70ES. For plastic coated pipe or high pressure rigid systems. Schedule 80 wall thickness for use with HP-70ES couplings. Coupling sizes from 2 - 12"" | DN50 - DN300 and Fitting sizes from 2 - 6"" | DN50 - DN150",https://www.victaulic.com/products/style-hp-70es-endseal-high-pressure-coupling-for-plastic-coated-pipe/
732H,FireLock™Style 732H Wye Type Strainer,Fire Protection,,"Provides straight through flow for lower pressure drop. Sizes from 2 - 4"" | DN50 - DN100. Pressures up to 365 psi | 2517 kPa | 25 bar",https://www.victaulic.com/products/series-732h-firelock-vic-strainer-wye-type/
752,FireLock™ Series 752 Retard Chamber,Fire Protection,,Reduces the possibility of false alarms due to water supply pressure surges. Designed for use with Victaulic® Series 751 alarm check valves. Pressures up to 300 psi | 2068 kPa | 21 bar,https://www.victaulic.com/products/series-752-firelock-retard-chamber/
751,FireLock™ Series 751 Alarm Check Valve,Valves,,"Prevents the reverse flow of water from the system piping to the water supply. Sizes from 1½ - 8"" | 40 - 200 mm. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/series-751-firelock-alarm-check-valve/
CG3100,"CG3100, CG3300, CG3500 Cut Grooving Tools",Fire Protection,,Designed for cut grooving 8 – 36” IPS HDPE pipe and 250 – 900 mm ISO HDPE pipe (SDR 7 – SDR 21). Provides the only grooved joining solution for large diameter HDPE pipe. Faces and cuts parallel grooves into the end of the pipe,https://www.victaulic.com/products/hdpe-cut-grooving-tools-models-cg3100-cg3300-cg3500/
W257,Style W257 Dynamic Movement Joint,Couplings,,"Style W257. M11 Compliant assembly built to accommodate up to 4’’I 102mm of dynamic movement including differential settlement, seismic and thermal movement. Sizes from 14 - 78’’ / DN350 - DN1950 carbon steel pipe. Working pressure is equal to the Style W77 coupling on equivalent wall thickness pipe.",https://www.victaulic.com/products/style-w257-dynamic-movement-joint/
257C,Style 257C Dynamic Movement Joint,Couplings,,"Style 257C. M11 Compliant assembly built to accommodate up to 4’’/ 102mm of dynamic movement including differential settlement, seismic and thermal movement. Sizes from 3 – 36""/DN80 – DN900 ductile iron and cast iron pipe. Working pressure is equal to the Style 31 coupling on equivalent wall thickness p",https://www.victaulic.com/products/style-257c-dynamic-movement-joint/
